"Country","Commodity","Min","First_quartile","Median","Mean","Third_quartile","Max","Variance","Std"
"Australia","Wheat",10822,19602.151109,23299.067845,23037.7899115625,27109.378536,35009.400344,46079559.6061988,6788.19266124635
"Canada","Wheat",20090.4,25633.075,28133.3,28744.1875,32192.825,37589.1,20469268.8758333,4524.29761132414
"Japan","Wheat",571.3,784.325,855.1,841.88125,907.55,1037,13837.1922916667,117.63159563513
"Mexico","Wheat",2943.44512,3266.76807,3509.456435,3505.964124375,3685.2068175,4213.545,140054.816637618,374.238983321645
"New Zealand","Wheat",261.798,380.1965,409.35,403.42,445.61725,488.614,3054.03532466667,55.2633271226649
"Norway","Wheat",136.553,279.361,339.857,340.2181875,396.407,491.442,8678.31965349583,93.1574991801295
"Switzerland","Wheat",372,481.75575,510.7775,501.694625,533.825,537,1805.85861251667,42.4953951919107
"Türkiye","Wheat",14525,18812.5,20050,19625.125,20825,22600,4636613.98333333,2153.27982002649
"United Kingdom","Wheat",9658,12580.75,14196,13568.75,15184,16225,7986092.25,2825.96748919728
"United States","Wheat",47382.272335,52260.65965075,55970.139099,56149.6086403125,59179.53281775,68362.739735,30363500.7290786,5510.30858746392
"Argentina","Wheat",8024.996,10771.29875,14524.2395,14213.3484375,17797.5,19750,16584252.8832585,4072.37681007769
"Brazil","Wheat",2484.848,4588.9675,5477.95,5191.912125,5856.8845,6727,1076669.72644785,1037.62696883218
"Chile","Wheat",1086.1401,1189.964575,1259.60025,1326.03397375,1433.747225,1851.94,43688.1861375937,209.01719100972
"China (People's Republic of)","Wheat",97445,115108.5,123125,122067.0394375,132797,134334,127792161.810018,11304.5195302595
"India","Wheat",69350,80770,92897.0050485,90909.761773375,98850.04771175,109590,138102538.018602,11751.7036219691
"Israel","Wheat",65,86.225,128.75,123.404148803875,157.48025,200.848,1719.13167949979,41.4624128518805
"Kazakhstan","Wheat",9638.4,12266.5425,13844.2,13940.924375,14848.525,22732.1,9829629.80207958,3135.2240433627
"Russia","Wheat",37766.8,48932.82925,60688.219,60529.39355,72438.5315,86002.541,220038914.428685,14833.7087213106
"South Africa","Wheat",1436,1705.3715,1878,1833.727125,1978.75,2149,52671.6353729167,229.503018221802
"Ukraine","Wheat",13937.7,18237.225,23218.8,21951.8875,25924.6,28327.86,22426162.4248467,4735.62693049681
"European Union","Wheat",117148.05,134597.53,138342.375,140102.88625,150338.8175,160628.09,169147419.066132,13005.6687281405
"OECD - Total","Wheat",224915.36835,260064.4929375,264563.12566,263592.42611125,278751.560125,287491.10988,337410730.703361,18368.7433076779
"Colombia","Wheat",NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia","Wheat",NA,NA,NA,NA,NA,NA,NA,NA
"Philippines","Wheat",NA,NA,NA,NA,NA,NA,NA,NA
"Viet Nam","Wheat",NA,NA,NA,NA,NA,NA,NA,NA
"Korea","Wheat",NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica","Wheat",NA,NA,NA,NA,NA,NA,NA,NA
"Iceland","Wheat",NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Canada","Maize",8989.8,11179.725,12551.7,12199.0625,13730.825,14190.7,3173694.1425,1781.4864979842
"Japan","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Mexico","Maize",17635.4173,22025.2435,23407.315,23798.187090625,27184.1104775,28250.78331,10182375.9588535,3190.98354098756
"New Zealand","Maize",175.6,191.525,207.7785,206.134625,215.08725,237.844,320.690302916667,17.9078279787546
"Norway","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Switzerland","Maize",113,146.175,157.427,161.5504375,174.15675,218.892,648.134984129167,25.4584953233526
"Türkiye","Maize",3535,4186.25,5150,5086.875,5962.5,6500,1182506.25,1087.43103229584
"United Kingdom","Maize",5291.5636,5578.0909,5887.6,5808.9209,6118.43,6168.92,167076.909805907,408.750424838809
"United States","Maize",267502.20357,311071.2026775,338717.076605,331424.920430625,359103.038265,384780.49375,1270281241.12777,35641.0050521555
"Argentina","Maize",13134.436,21958.9435,32603.188,34174.899,44970,60500,247083035.002994,15718.8751188816
"Brazil","Maize",35113.312,54975.049,76015.6,70757.2308125,82297.275,102515,453139164.394904,21287.0656595714
"Chile","Maize",565.8838,1108.7767,1351.78685,1235.703820625,1411.70375,1517.8921,63104.9522618284,251.206990869738
"China (People's Republic of)","Maize",139365,172974.25,239006,217986.972625,259470.75,264992,2179043494.28775,46680.2259451232
"India","Maize",14710,19537.5,22412.77895,22797.2169021875,26353.649755,31650,25042000.7286302,5004.19831028209
"Israel","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan","Maize",413.61,454.55,544.84565,615.7902,767.975,958.1,36455.8572003107,190.934169808106
"Russia","Maize",3060.164,3913.78605,9738.3799,8955.4738875,13155.282025,15281.594,20490113.9816741,4526.60070932638
"South Africa","Maize",6947,9538.60075,11071.447,10859.9689375,11809.9565,16047.861,5989180.7438126,2447.28027487916
"Ukraine","Maize",6425.6,11206.75,23082.685,21011.691875,28945.1,35880.05,108407225.148723,10411.8790402464
"European Union","Maize",44386.5,57433.735,62810.25,61206.26125,65695.1275,77508.3,74676921.665305,8641.58097024526
"OECD - Total","Maize",349665.26538,403384.4043325,428339.889715,424510.540045625,457459.1809525,483663.97616,1592097340.35255,39901.0944756225
"Colombia","Maize",1317,1468.9479,1574.299705,1576.24426720625,1615.5495654,1872.8551368,22001.7836108153,148.329982170886
"Indonesia","Maize",11609.463,17128.4976765,18736.4265,20177.640931375,24395.75,30693,37371148.5858092,6113.19463012664
"Philippines","Maize",5253,6880.25,7297.905,7153.677508125,7770.9317125,8119,589543.269430129,767.817210949409
"Viet Nam","Maize",3787.1,4512.654524875,4767.8743019,4708.66918830625,5130.124185,5287.2,214815.36064268,463.481780270465
"Korea","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Iceland","Maize",NA,NA,NA,NA,NA,NA,NA,NA
"Australia","Oats",748,1132.8847375,1180.00312,1279.39362121875,1370.07676265,1873.298474,78500.4346390677,280.179290168042
"Canada","Oats",2451.4,3112.4,3430.5,3556.79375,4002.525,4618.4,417273.831291667,645.96736085631
"Japan","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Mexico","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand","Oats",18.118,26.48375,28.472,30.7319375,34.38475,47.608,61.3555820625,7.83298040738645
"Norway","Oats",156.153,230.20675,275.4,266.8615,286.09025,356.419,2244.86522866667,47.3800087448986
"Switzerland","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Türkiye","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom","Oats",850.3,868.825,953,958.075,1042.25,1076,12580.4225,112.162482586647
"United States","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Chile","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"China (People's Republic of)","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"India","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Israel","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Kazakhstan","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Russia","Oats",3225.2495,4509.534575,4813.09115,4806.65475625,5352.764725,5838.2661,436665.987773411,660.807073035247
"South Africa","Oats",NA,NA,NA,NA,NA,NA,NA,NA
"Ukraine","Oats",418.46,470.3825,507.8,574.01125,644.825,944,22106.1118516667,148.681242433828
