"Country","Commodity","Min","First_quartile","Median","Mean","Third_quartile","Max","Variance","Std"
"Australia","Wheat",122.51798826,164.7439999525,185.80469114,187.808190344375,214.7697513275,252.09371476,1577.11807240679,39.7129459044125
"Canada","Wheat",82.978176242,139.098732395,151.59694376,152.610424758562,171.6817465475,206.37024312,1347.08776523957,36.7026942504167
"Japan","Wheat",240.03545904,318.931907345,379.263406105,379.035034048125,442.184805875,541.58738508,8143.27449755786,90.2400936256045
"Mexico","Wheat",117.3943809,145.0077544975,181.61844607,168.095422759375,187.13175206,202.61236178,828.217374530887,28.7787660355841
"New Zealand","Wheat",161.95409179,206.9365782575,228.26958115,230.304277841875,261.3431437375,279.10355872,1216.78898586501,34.8825025745718
"Norway","Wheat",229.67013997,251.0177068625,296.6882714,286.637597405625,310.998285625,332.20311824,1155.79359099823,33.996964437994
"Switzerland","Wheat",318.11485367,357.3672394675,409.06810149,401.264627405625,449.708234085,468.36338024,2725.52183919599,52.2065306182664
"Türkiye","Wheat",168.07600258,197.8485372275,240.58775919,227.6639924875,254.4773704125,265.00484213,994.751723854552,31.5396849041735
"United Kingdom","Wheat",159.20766294,168.081672195,173.510405655,171.7030634525,177.1317969125,180.58377956,84.5813804651885,9.19681360391677
"United States","Wheat",101.11125485,145.066532105,161.310223785,159.090280229375,171.27842763,222.11964418,856.761079115497,29.2704813611853
"Argentina","Wheat",63.33780301,87.28505811975,95.1284465505,103.551398579313,112.74213304,181.54347666,1025.29148439815,32.0201730850749
"Brazil","Wheat",121.74606522,154.259880055,172.627560815,180.884765631875,199.7656349,284.72843477,1606.86466252902,40.0857164402611
"Chile","Wheat",139.5702783,179.623009315,193.96089346,197.485962055,218.5168678175,251.74794534,950.751474431284,30.8342581300618
"China (People's Republic of)","Wheat",135.5276779,186.789687255,277.23810591,243.521233879375,291.5285413975,334.04475862,4550.71637405523,67.4589977249531
"India","Wheat",120.09707793,160.0622503775,172.688413725,180.652049686875,206.9744410875,230.26420318,1041.50157846508,32.272303581633
