"","withinss","betweenss","between_total"
"1",78,0,0
"2",33.2581937343458,44.7418062656542,0.57361290084172
"3",13.3640789456058,64.6359210543942,0.828665654543515
"4",8.17380239935462,69.8261976006454,0.895207661546736
"5",4.32077090203205,73.6792290979679,0.944605501255999
"6",3.2911412510092,74.7088587489908,0.957805881397318
"7",2.26926763197452,75.7307323680255,0.970906825231096
"8",1.67049230221588,76.3295076977841,0.978583432022873
"9",1.26499682953437,76.7350031704656,0.983782091929047
"10",1.01222405352041,76.9877759464796,0.98702276854461
