"","withinss","betweenss","between_total"
"1",81,0,0
"2",65.5575068936554,15.4424931063446,0.190648063041291
"3",46.8841006385975,34.1158993614025,0.421183942733364
"4",20.0580523556122,60.9419476443878,0.752369724004788
"5",19.423133345126,61.576866654874,0.760208230307087
"6",14.9492103702938,66.0507896297062,0.815441847280324
"7",5.58914177866516,75.4108582213348,0.930998249646109
"8",3.88353566179758,77.1164643382024,0.95205511528645
"9",3.00478825603976,77.9952117439602,0.962903848690867
"10",2.79000668658125,78.2099933134187,0.96555547300517
